TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
e_e000493,H02,e000493,1;2;21;3;6,2023-06-17,2023-06-18,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/나홀로 여행/일반미션",1;2;21;3;6,2;3;21
e_e001064,H02,e001064,22;3;5;8,2023-06-04,2023-06-06,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/자녀동반/일반미션",22;3;5;8,5;7;24
e_e001102,H02,e001102,21;26;28,2023-05-27,2023-05-28,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",21;26;28,22;7;9
e_e001236,H02,e001236,2;5;6;8;9;21;22;28;27;24;23,2023-05-27,2023-05-29,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",2;5;6;8;9;21;22;28;27;24;23,6;21;22
e_e001394,H02,e001394,22;24;26;7,2023-05-27,2023-05-29,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/나홀로 여행/일반미션",22;24;26;7,7;26;4
e_e001492,H02,e001492,1;2;3;22,2023-06-08,2023-06-09,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",1;2;3;22,3;22;26
e_e001502,H02,e001502,21;22;5,2023-05-29,2023-05-30,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/자녀동반/일반미션",21;22;5,28;22;5
e_e001517,H02,e001517,22;23,2023-05-28,2023-05-30,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",22;23,23;22;26
e_e002042,H02,e002042,11;2;21;22;5,2023-06-06,2023-06-08,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/나홀로 여행/일반미션",11;2;21;22;5,2;11;23
e_e002273,H02,e002273,10,2023-06-04,2023-06-05,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",10,10;24;22
e_e002461,H02,e002461,11;2;3;6;9,2023-06-03,2023-06-04,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/부모 동반/일반미션",11;2;3;6;9,2;6;3
e_e002712,H02,e002712,1;2;6;7;8,2023-06-09,2023-06-11,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/3인 이상 친구/일반미션",1;2;6;7;8,23;7;21
e_e002727,H02,e002727,1;13;22;27;3,2023-06-11,2023-06-12,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/3인 이상 친구/일반미션",1;13;22;27;3,7;13;21
e_e002762,H02,e002762,1;22;24;6,2023-06-09,2023-06-11,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/나홀로 여행/일반미션",1;22;24;6,1;22;21
e_e002777,H02,e002777,25;8,2023-06-10,2023-06-12,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/3인 이상 친구/일반미션",25;8,8;25;21
e_e002917,H02,e002917,21;22;28;8,2023-07-01,2023-07-03,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/자녀동반/일반미션",21;22;28;8,8;21;22
e_e002953,H02,e002953,11;6;9,2023-06-16,2023-06-17,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/40세 이상/나홀로 여행/일반미션",11;6;9,6;4;5
e_e002967,H02,e002967,1;22;23;26;4,2023-06-11,2023-06-13,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",1;22;23;26;4,23;7;27
e_e002989,H02,e002989,1;23;24;3;6,2023-06-18,2023-06-20,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",1;23;24;3;6,23;22;3
e_e003008,H02,e003008,22;23;26;1;2,2023-06-15,2023-06-17,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/부부/일반미션",22;23;26;1;2,1;2;23
e_e003015,H02,e003015,1;11;22;26,2023-06-17,2023-06-18,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",1;11;22;26,11;1;26
e_e003035,H02,e003035,2;22;23;5,2023-06-24,2023-06-26,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",2;22;23;5,23;11;5
e_e003042,H02,e003042,11;22;24;4,2023-06-17,2023-06-19,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/자녀동반/일반미션",11;22;24;4,2;3;11
e_e003064,H02,e003064,22;25;4,2023-06-24,2023-06-26,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",22;25;4,25;1;4
e_e003130,H02,e003130,2;21,2023-06-17,2023-06-18,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/특별미션",2;21,27;2;12
e_e003188,H02,e003188,1;2;22;26;6,2023-06-17,2023-06-19,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",1;2;22;26;6,6;1;22
e_e003567,H02,e003567,5,2023-06-24,2023-06-25,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/자녀동반/일반미션",5,21;5;24
e_e003637,H02,e003637,1;2;22;26;7,2023-06-20,2023-06-21,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/3인 이상 친구/일반미션",1;2;22;26;7,2;26;22
e_e003681,H02,e003681,21;22;23;24;28,2023-07-01,2023-07-03,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/나홀로 여행/일반미션",21;22;23;24;28,26;23;22
e_e003877,H02,e003877,23,2023-06-24,2023-06-26,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",23,23;2;1
e_e004181,H02,e004181,22;4,2023-07-09,2023-07-10,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",22;4,4;22;3
e_e004314,H02,e004314,12;2;22;24;6,2023-06-30,2023-07-02,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/3인 이상 친구/일반미션",12;2;22;24;6,6;24;22
e_e004456,H02,e004456,11;2;24;3;5,2023-07-08,2023-07-10,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/3인 이상 친구/일반미션",11;2;24;3;5,3;24;6
e_e004474,H02,e004474,1;4;23;22;21;26,2023-07-02,2023-07-04,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",1;4;23;22;21;26,23;26;4
e_e004529,H02,e004529,26;22;23,2023-07-09,2023-07-11,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",26;22;23,9;23;22
e_e004664,E02,e004664,22;23;3;4,2023-07-14,2023-07-16,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/부부/일반미션",22;23;3;4,24;3;1
e_e004796,H02,e004796,23;3;6,2023-08-02,2023-08-04,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/3인 이상 친구/일반미션",23;3;6,21;23;26
e_e005252,H02,e005252,1;2;22;3;4,2023-08-05,2023-08-07,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/40세 이상/커플/일반미션",1;2;22;3;4,4;22;3
e_e005396,E03,e005396,1;22;23;3;4,2023-07-22,2023-07-24,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/자녀동반/일반미션",1;22;23;3;4,11;6;2
e_e005754,H02,e005754,13;2;28;3,2023-08-05,2023-08-07,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",13;2;28;3,2;3;13
e_e005954,H02,e005954,1;2;6;7;9,2023-07-31,2023-08-01,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/부모 동반/일반미션",1;2;6;7;9,2;22;1
e_e013065,H02,e013065,13;3;6,2023-09-12,2023-09-13,,"제주,도서지역 방문/거주지 구분 없음/40세 이상/부부/일반미션",13;3;6,3;13;1
e_e013075,H02,e013075,22;4,2023-09-17,2023-09-18,,"제주,도서지역 방문/거주지 구분 없음/39세 이하/자녀동반/일반미션",22;4,22;11;24
e_e013135,H01,e013135,1;21;22;24,2023-09-23,2023-09-24,,"제주,도서지역 방문/거주지 구분 없음/40세 이상/나홀로 여행/일반미션",1;21;22;24,22;21;24
